"This was one of the worst albums I have ever listened to. I bought it for the second track, 'Up Jumped the Devil'. I couldn't even get through it past track 3. The intro was awful. Just horrible, droning nonsense for three or so miserable unending minutes. I made it to the third song and it was as bad as the first. I couldn't take any more. I wouldn't recommend this to anyone who values their ears or brain.",0.955656415
@FIAO wtf this is DISGUSTING! ughhh u sound like such a fag!!!  lol smh,0.955488531
" It was boring . The music was too slow and the food was lousy and , above all , I was really sick of the same old crowd all the time . ",0.954830114
It was a waste of money. Especially because the physical production of the discs leaves them flawed.The stupid thing keeps freezing and faltering... ahh I am sick of the BBC's lack of quality control.Read the other negative reviews before you buy.,0.954802927
"Unfortunately the options of ""no stars"" is not in existence. This crap does not even deserve the one star. If you thought the books were bad, you were dead wrong. Horrible acting, disgusting plot line and forced action (which doesn't exist really).",0.954688017
"Woke up sick. Missed out on outing today so not very happy about that.  Whoever brought up the flu in humanity, I hope you burn and die.",0.954482881
"Recently purchased a copy from ""surfvideo.com"", and was so disappointed!!! The terrible print saw my memories of this classic lost in jumpy, out of focus, GRAINY crap! It looks like someone used a handheld vidcam to record the movie playing on a poor television set...",0.953990005
 I got caught cheating . I feel so ashamed . The teacher saw me and told me I failed . ,0.953678368
"This CD is a huge disappointment! Why did they put crap on it and no Jimmy Hendrix or Bob Dylan, aside from his duet with Joan Osborn, which, in my oppinion, stinks. I am so glad I looked at the artists before I bought this sucker.",0.953548852
I knew right from the start that this wasn't an original. Quality was horrible. If you have ever owned an original chi before don't short change yourself tyring to save a few bucks...its SO not worth it!!!,0.953130054
" I hate the bus system in London ! The bus drivers are rude , the buses are never on time , and there are few people around who can help you . ",0.953117317
,
Me and 3 of my friends used this marvel of technology to make a Halo 2 machinima movie about Dane Cook's Heist/Monkey bit and it worked like a dream! It is perfect! GET IT!,0.975743298
@dannywood Good morning Dan! It's my Bday and I plan on getting some exercise too today!!  Love ya!! See you in NYC!!!,0.975662864
My friend Jean is very beautiful . ,0.975279381
WERDER BREMEN! GREAT!!! ,0.975118556
GODS GIVING ME LIKE THE BEST DAYS EVER LATELYYYYYYYYYYY    ,0.975107383
had a great hungry man breakfast with the kids.... what to do today? Ahh think we will go get sparklers they'll like those for tonight! ,0.97507768
Bought this flavor on a whim...and I absolutely love it! It smells divine and tastes wonderful. I could drink cup and after cup of it. Perfect example of what a cup of tea should taste like.,0.974912336
" Well , that sounds just wonderful . ",0.974851673
@squeegees Happy because school's over soon? SUMMER!!!!!!! ,0.974768338
@NikilPiABD welcome! here's some great twitter tips ~ http://bit.ly/9WXJ3 http://bit.ly/14ctsN http://bit.ly/2xL9N. happy tweeting! ,0.974714922
